var,skew,kur,fft,class
1025358.1780900779,-1.4909022986566087,-0.010330042570660228,262522690.82896072,yes
1024083.0053126673,-1.491592472855124,-0.009139896577690964,262200978.05716267,yes
1026432.0516179303,-1.489304013307973,-0.009374470017059277,262807191.5245157,yes
1022430.556022518,-1.4899708276398747,-0.010164524217060836,261776931.10998833,yes
1020149.3862824223,-1.4916288782140057,-0.010162225564469345,261196949.94975138,yes
1023192.4233567044,-1.4908332617019984,-0.011249872603682019,261976683.1171728,yes
1022246.3284862572,-1.489507522350535,-0.010055625484795305,261725040.69891,yes
1021709.4149843499,-1.490391365974979,-0.009678791936371762,261598507.12001294,yes
1023642.9437960607,-1.4924463383091637,-0.009800488073545515,262086864.8290686,yes
1018836.165265359,-1.4912760461795453,-0.009114277323185802,260851081.02117324,yes
1028562.8712950565,-1.4926567419991432,-0.010785540448505234,263345705.3206423,yes
1023479.0716808548,-1.4908919839851784,-0.00904687972667818,262045897.61705762,yes
1022943.2954212902,-1.489138521593217,-0.009654858889233333,261904477.9087221,yes
1024914.4667106022,-1.4919377754980967,-0.00985212057287933,262413762.8323886,yes
1021291.0574503081,-1.4915804750064299,-0.010649032714235217,261482421.40146923,yes
1022632.7015623476,-1.4889934603992476,-0.009374371589449941,261825887.53328252,yes
1021393.3671853368,-1.4912663314378354,-0.009637796765000609,261516970.1366982,yes
1018875.083048332,-1.49026749280468,-0.00949759909524905,260866711.50231868,yes
1018775.5720340234,-1.4896746744669642,-0.010093888392389625,260842058.45815223,yes
1018417.7498496394,-1.4917241884653865,-0.010591265995256,260754033.16998348,yes
1019563.0016086136,-1.490256764119133,-0.010821253460908122,261046867.27123886,yes
1004937.6454607231,-1.495443170001845,-0.005583082626709214,256574102.21924436,yes
1007146.5378166372,-1.4918939952358552,-0.007387170475847894,257318874.88992476,yes
1003529.40755187,-1.4926779293293664,-0.008951345684898474,256558015.09208107,yes
1004599.1471605527,-1.4915412166075854,-0.007661746608438506,256953423.32942194,yes
1006385.2304030035,-1.491349540202039,-0.007856287147942075,257506750.41194123,yes
1005531.7358803139,-1.4891348180985944,-0.00789641511374464,257378246.44870055,yes
1003807.378221221,-1.4894923984032002,-0.007632807175278405,256989372.5020361,yes
1005917.4076975165,-1.4901546854726744,-0.00735105895760227,257552818.9230127,yes
1003116.1741190443,-1.4866072644117867,-0.008996402473402249,256835935.1448088,yes
1005708.6102872896,-1.4885397557130866,-0.008807736230526157,257450577.10085845,yes
1002657.5046963403,-1.489508715486474,-0.008575517793252732,256631911.37249678,yes
1002878.5596412679,-1.490544084326112,-0.009670320023279697,256608208.15198225,yes
1009911.7562097732,-1.4888996892058928,-0.00932154337288122,258326421.67208904,yes
1003460.417912769,-1.490839281490753,-0.008390659468764284,256563856.5594275,yes
1004213.3050423919,-1.4916306664434895,-0.008662228145371598,256657873.46344298,yes
1002870.3557192339,-1.4914168968282964,-0.00853730975626429,256222601.05951262,yes
1006462.1189527696,-1.4924390842233604,-0.009003507248648252,257010137.36712146,yes
1006340.8489283646,-1.4899715422645081,-0.009490656117084264,256887711.8049254,yes
1005051.9971014473,-1.4900109831751236,-0.009803832575908623,256407587.59833235,yes
1005918.5894016671,-1.4923009077940383,-0.009013719928227202,256533293.47602445,yes
1000219.6535945127,-1.4920874409491405,-0.010158904586162417,254934802.78585762,yes
1001767.1812050703,-1.4900277226261125,-0.008961156257253123,255238714.40223157,yes
1002933.6732187334,-1.4921326146856182,-0.01033303153707929,255441906.10549092,yes
1002122.4967014687,-1.4915721161896098,-0.010384211316543315,255085844.72669518,yes
1010710.7746312745,-1.4932018254939483,-0.00869504298494873,257155846.14139974,yes
1000628.9042963414,-1.4899127176293534,-0.008590077941146806,254577260.49542052,yes
1002756.7822494225,-1.4891198525222789,-0.009088460607800953,255030073.71166617,yes
1002739.2128100782,-1.492254453812419,-0.00898131888902263,255005813.01622248,yes
1002841.5715239155,-1.487891467897682,-0.009047776016030252,254859511.6184157,yes
1000935.3079762853,-1.4896998756490432,-0.00924233785181014,254357905.77229768,yes
1003335.6995785439,-1.4898146500500495,-0.010383910964159849,255015586.89016518,yes
1004614.3150783626,-1.489717295775081,-0.009858833047281036,255200388.82406598,yes
1006791.30877029,-1.4908461321617752,-0.010495598404019842,255839901.60462093,yes
1000871.6493934831,-1.4897589860763054,-0.010679549516526924,254275848.15765136,yes
1004482.2851063319,-1.4885677953305394,-0.009450536090154234,255225000.37642163,yes
1000143.3695531135,-1.490514516306319,-0.008957134979206478,254131221.27285272,yes
1006154.3272560101,-1.4890216837474939,-0.01071753904815066,255632068.21293253,yes
1003749.6021796914,-1.490311253014943,-0.01144934723015316,255145793.16987804,yes
1001405.519977292,-1.4904732820737883,-0.010933670824955692,254516696.0792065,yes
1000249.2562946756,-1.4916407519285881,-0.00924710191415139,254122915.72195068,yes
1002178.3937250203,-1.491605024612325,-0.01156033754068632,254698759.70348537,yes
996644.0338893952,-1.4902284613677577,-0.010792250707726214,253235866.4467243,yes
997766.1781515125,-1.4885116045958255,-0.009919026246689312,253517809.42343983,yes
997724.0802613397,-1.4924848119823964,-0.009020008932371733,253563204.770033,yes
1000297.9155281483,-1.4905865308939055,-0.00958745975801656,254120222.2308368,yes
999698.5795472257,-1.4919656990192995,-0.010761024987257646,253991821.4989724,yes
1000431.1402756537,-1.4915552608710294,-0.010187403466170834,254216692.7569398,yes
999931.6197390717,-1.4915565398450068,-0.0082990822154159,253994081.17993698,yes
999905.5238796589,-1.4915318199536405,-0.011387092687102697,254113209.70651075,yes
